round,client_id,aggregation_weight,global_accuracy_vanilla,global_accuracy_weighted
1,1,0.07319654884552185,0.5139826422372228,0.5332690453230472
1,2,0.049465362157415455,0.5139826422372228,0.5332690453230472
1,3,0.026547207165833864,0.5139826422372228,0.5332690453230472
1,4,0.03396424487946187,0.5139826422372228,0.5332690453230472
1,5,0.042133110512706386,0.5139826422372228,0.5332690453230472
1,6,0.026333670548830977,0.5139826422372228,0.5332690453230472
1,7,0.0397213900637905,0.5139826422372228,0.5332690453230472
1,8,0.025163757933297556,0.5139826422372228,0.5332690453230472
1,9,0.018648063261923788,0.5139826422372228,0.5332690453230472
1,10,0.017768118332178548,0.5139826422372228,0.5332690453230472
1,11,0.040111118960892436,0.5139826422372228,0.5332690453230472
1,12,0.02263665839764558,0.5139826422372228,0.5332690453230472
1,13,0.031774043661290705,0.5139826422372228,0.5332690453230472
1,14,0.02404871909008988,0.5139826422372228,0.5332690453230472
1,15,0.03018726694758649,0.5139826422372228,0.5332690453230472
1,16,0.0351767550193,0.5139826422372228,0.5332690453230472
1,17,0.04114438726126242,0.5139826422372228,0.5332690453230472
1,18,0.032268090828445214,0.5139826422372228,0.5332690453230472
1,19,0.029825573877520346,0.5139826422372228,0.5332690453230472
1,20,0.03551333135870511,0.5139826422372228,0.5332690453230472
1,21,0.03767863815560796,0.5139826422372228,0.5332690453230472
1,22,0.013045740434316822,0.5139826422372228,0.5332690453230472
1,23,0.02476056878575023,0.5139826422372228,0.5332690453230472
1,24,0.032020114410312654,0.5139826422372228,0.5332690453230472
1,25,0.06065647458017705,0.5139826422372228,0.5332690453230472
1,26,0.04428905019412177,0.5139826422372228,0.5332690453230472
1,27,0.02623228984445746,0.5139826422372228,0.5332690453230472
1,28,0.029525102912168,0.5139826422372228,0.5332690453230472
1,29,0.03124233658150258,0.5139826422372228,0.5332690453230472
1,30,0.024922264997886384,0.5139826422372228,0.5332690453230472
2,1,0.033677811550151975,0.5385728061716489,0.5438765670202508
2,2,0.029300911854103343,0.5385728061716489,0.5438765670202508
2,3,0.03306990881458967,0.5385728061716489,0.5438765670202508
2,4,0.030759878419452887,0.5385728061716489,0.5438765670202508
2,5,0.029300911854103343,0.5385728061716489,0.5438765670202508
2,6,0.031610942249240125,0.5385728061716489,0.5438765670202508
2,7,0.029908814589665652,0.5385728061716489,0.5438765670202508
2,8,0.02723404255319149,0.5385728061716489,0.5438765670202508
2,9,0.02796352583586626,0.5385728061716489,0.5438765670202508
2,10,0.02857142857142857,0.5385728061716489,0.5438765670202508
2,11,0.030638297872340424,0.5385728061716489,0.5438765670202508
2,12,0.031124620060790274,0.5385728061716489,0.5438765670202508
2,13,0.03173252279635258,0.5385728061716489,0.5438765670202508
2,14,0.0313677811550152,0.5385728061716489,0.5438765670202508
2,15,0.03185410334346504,0.5385728061716489,0.5438765670202508
2,16,0.035501519756838906,0.5385728061716489,0.5438765670202508
2,17,0.03574468085106383,0.5385728061716489,0.5438765670202508
2,18,0.035379939209726444,0.5385728061716489,0.5438765670202508
2,19,0.035015197568389056,0.5385728061716489,0.5438765670202508
2,20,0.03440729483282675,0.5385728061716489,0.5438765670202508
2,21,0.03963525835866261,0.5385728061716489,0.5438765670202508
2,22,0.031124620060790274,0.5385728061716489,0.5438765670202508
2,23,0.03610942249240122,0.5385728061716489,0.5438765670202508
2,24,0.03696048632218845,0.5385728061716489,0.5438765670202508
2,25,0.039756838905775076,0.5385728061716489,0.5438765670202508
2,26,0.038054711246200607,0.5385728061716489,0.5438765670202508
2,27,0.0364741641337386,0.5385728061716489,0.5438765670202508
2,28,0.03708206686930091,0.5385728061716489,0.5438765670202508
2,29,0.03343465045592705,0.5385728061716489,0.5438765670202508
2,30,0.037203647416413375,0.5385728061716489,0.5438765670202508
3,1,0.061783172673543836,0.6200578592092575,0.6943105110896818
3,2,0.04671331388950313,0.6200578592092575,0.6943105110896818
3,3,0.017177679468445745,0.6200578592092575,0.6943105110896818
3,4,0.028437550483662356,0.6200578592092575,0.6943105110896818
3,5,0.02936275168296019,0.6200578592092575,0.6943105110896818
3,6,0.023503337714485154,0.6200578592092575,0.6943105110896818
3,7,0.01645702046611008,0.6200578592092575,0.6943105110896818
3,8,0.03199066906546701,0.6200578592092575,0.6943105110896818
3,9,0.0419027671835924,0.6200578592092575,0.6943105110896818
3,10,0.03254631889023916,0.6200578592092575,0.6943105110896818
3,11,0.03908872563242745,0.6200578592092575,0.6943105110896818
3,12,0.011489437151676286,0.6200578592092575,0.6943105110896818
3,13,0.010462551016931214,0.6200578592092575,0.6943105110896818
3,14,0.05327203177526503,0.6200578592092575,0.6943105110896818
3,15,0.044719301577895845,0.6200578592092575,0.6943105110896818
3,16,0.033200433769387805,0.6200578592092575,0.6943105110896818
3,17,0.0750020552142072,0.6200578592092575,0.6943105110896818
3,18,0.051448884923986214,0.6200578592092575,0.6943105110896818
3,19,0.025073540292195433,0.6200578592092575,0.6943105110896818
3,20,0.022374143612932575,0.6200578592092575,0.6943105110896818
3,21,0.02903500092962669,0.6200578592092575,0.6943105110896818
3,22,0.021085648566106376,0.6200578592092575,0.6943105110896818
3,23,0.01404228347052491,0.6200578592092575,0.6943105110896818
3,24,0.03025238203399288,0.6200578592092575,0.6943105110896818
3,25,0.014705890741429362,0.6200578592092575,0.6943105110896818
3,26,0.03846060690768347,0.6200578592092575,0.6943105110896818
3,27,0.04946679674338468,0.6200578592092575,0.6943105110896818
3,28,0.03543655237883568,0.6200578592092575,0.6943105110896818
3,29,0.03493835320689682,0.6200578592092575,0.6943105110896818
3,30,0.0365707985366051,0.6200578592092575,0.6943105110896818
4,1,0.03144009288448209,0.7092574734811957,0.7246865959498554
4,2,0.038183154359151275,0.7092574734811957,0.7246865959498554
4,3,0.02624920001688301,0.7092574734811957,0.7246865959498554
4,4,0.03392474448961596,0.7092574734811957,0.7246865959498554
4,5,0.020645962807586182,0.7092574734811957,0.7246865959498554
4,6,0.02838172481261741,0.7092574734811957,0.7246865959498554
4,7,0.03347789170773232,0.7092574734811957,0.7246865959498554
4,8,0.03588921609611715,0.7092574734811957,0.7246865959498554
4,9,0.0376665868421863,0.7092574734811957,0.7246865959498554
4,10,0.02289280321628651,0.7092574734811957,0.7246865959498554
4,11,0.05211788764573147,0.7092574734811957,0.7246865959498554
4,12,0.014897865719642916,0.7092574734811957,0.7246865959498554
4,13,0.023885048512460767,0.7092574734811957,0.7246865959498554
4,14,0.05757418434014151,0.7092574734811957,0.7246865959498554
4,15,0.02468114429333896,0.7092574734811957,0.7246865959498554
4,16,0.05532226957808765,0.7092574734811957,0.7246865959498554
4,17,0.03296532163817214,0.7092574734811957,0.7246865959498554
4,18,0.021939133595113576,0.7092574734811957,0.7246865959498554
4,19,0.04593846679240698,0.7092574734811957,0.7246865959498554
4,20,0.026918892864551756,0.7092574734811957,0.7246865959498554
4,21,0.030757862062054164,0.7092574734811957,0.7246865959498554
4,22,0.028546415211488936,0.7092574734811957,0.7246865959498554
4,23,0.030407653498812342,0.7092574734811957,0.7246865959498554
4,24,0.03499635800388638,0.7092574734811957,0.7246865959498554
4,25,0.038964273267910556,0.7092574734811957,0.7246865959498554
4,26,0.037539671868408904,0.7092574734811957,0.7246865959498554
4,27,0.03324064621916308,0.7092574734811957,0.7246865959498554
4,28,0.03742220518518222,0.7092574734811957,0.7246865959498554
4,29,0.035390882159105824,0.7092574734811957,0.7246865959498554
4,30,0.027742440311681712,0.7092574734811957,0.7246865959498554
5,1,0.033677811550151975,0.7420443587270974,0.7410800385728061
5,2,0.029300911854103343,0.7420443587270974,0.7410800385728061
5,3,0.03306990881458967,0.7420443587270974,0.7410800385728061
5,4,0.030759878419452887,0.7420443587270974,0.7410800385728061
5,5,0.029300911854103343,0.7420443587270974,0.7410800385728061
5,6,0.031610942249240125,0.7420443587270974,0.7410800385728061
5,7,0.029908814589665652,0.7420443587270974,0.7410800385728061
5,8,0.02723404255319149,0.7420443587270974,0.7410800385728061
5,9,0.02796352583586626,0.7420443587270974,0.7410800385728061
5,10,0.02857142857142857,0.7420443587270974,0.7410800385728061
5,11,0.030638297872340424,0.7420443587270974,0.7410800385728061
5,12,0.031124620060790274,0.7420443587270974,0.7410800385728061
5,13,0.03173252279635258,0.7420443587270974,0.7410800385728061
5,14,0.0313677811550152,0.7420443587270974,0.7410800385728061
5,15,0.03185410334346504,0.7420443587270974,0.7410800385728061
5,16,0.035501519756838906,0.7420443587270974,0.7410800385728061
5,17,0.03574468085106383,0.7420443587270974,0.7410800385728061
5,18,0.035379939209726444,0.7420443587270974,0.7410800385728061
5,19,0.035015197568389056,0.7420443587270974,0.7410800385728061
5,20,0.03440729483282675,0.7420443587270974,0.7410800385728061
5,21,0.03963525835866261,0.7420443587270974,0.7410800385728061
5,22,0.031124620060790274,0.7420443587270974,0.7410800385728061
5,23,0.03610942249240122,0.7420443587270974,0.7410800385728061
5,24,0.03696048632218845,0.7420443587270974,0.7410800385728061
5,25,0.039756838905775076,0.7420443587270974,0.7410800385728061
5,26,0.038054711246200607,0.7420443587270974,0.7410800385728061
5,27,0.0364741641337386,0.7420443587270974,0.7410800385728061
5,28,0.03708206686930091,0.7420443587270974,0.7410800385728061
5,29,0.03343465045592705,0.7420443587270974,0.7410800385728061
5,30,0.037203647416413375,0.7420443587270974,0.7410800385728061
